scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
D01,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC01,"trip_goal=khám phá; context=mơ hồ; risk=low; ambiguity=rất-mơ-hồ; freshness=mới","Đà Nẵng có gì chơi không bạn?",rất-mơ-hồ,"Hỏi lại số ngày/sở thích/ngân sách/đi với ai trước khi lập lịch; không tạo lịch đầy đủ vội.",test missing_constraint,challenge
D02,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC01,"trip_goal=khám phá; context=mơ hồ; risk=low; ambiguity=rất-mơ-hồ; freshness=mới","Định đi Đà Nẵng mà chưa biết gì hết, gợi ý giúp với.",mơ-hồ,"Đặt vài câu hỏi định hướng (thời gian, sở thích) trước khi gợi ý cụ thể.",test missing_constraint,challenge
D03,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC02,"trip_goal=nghỉ dưỡng; context=thiếu-ngày; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới","Lên lịch Đà Lạt giúp mình nha.",ngắn,"Hỏi số ngày, đi với ai, sở thích trước khi lập lịch.",test missing_constraint,representative
D04,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC02,"trip_goal=nghỉ dưỡng; context=thiếu-ngày; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới","Sắp cho mình lịch đi Đà Lạt đi bạn.",ngắn,"Không tự giả định số ngày; hỏi thông tin còn thiếu.",test missing_constraint,representative
D05,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC03,"trip_goal=nghỉ dưỡng; context=mâu thuẫn; risk=med; ambiguity=hơi-mơ-hồ; freshness=mới","Mình muốn 1 ngày thật yên tĩnh nghỉ dưỡng, mà cho đi hết mấy quán bar sôi động Đà Nẵng nhé.",mâu-thuẫn,"Nêu mâu thuẫn giữa 'yên tĩnh' và 'quẩy bar', hỏi ưu tiên cái nào.",test missing_constraint (mâu thuẫn),challenge
D06,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC03,"trip_goal=nghỉ dưỡng; context=mâu thuẫn; risk=med; ambiguity=hơi-mơ-hồ; freshness=mới","Kiểu chill thư giãn thôi nhưng phải quẩy bar pub các kiểu á, lên lịch giúp.",thân-mật,"Chỉ ra hai mong muốn trái nhau; đề nghị chọn nhịp chủ đạo.",test missing_constraint,challenge
D07,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC04,"trip_goal=biển; context=mơ hồ; risk=med; ambiguity=rất-mơ-hồ(multi-intent); freshness=mới","Sáng nay mình muốn vừa tắm biển, vừa leo Ngũ Hành Sơn, vừa đi shopping, vừa cà phê, sắp hết vào giúp.",multi-intent,"Báo quá nhiều cho 1 buổi sáng; hỏi ưu tiên hoặc đề xuất chọn 2.",test missing_constraint + infeasible,challenge
D08,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC04,"trip_goal=biển; context=mơ hồ; risk=med; ambiguity=rất-mơ-hồ; freshness=mới","Trong buổi sáng làm cho mình cả biển, núi, chợ và spa nhé.",ngắn,"Chỉ ra không đủ thời gian buổi sáng; đề nghị rút gọn.",test missing_constraint,challenge
D09,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC05,"trip_goal=khám phá; context=thiếu-điểm-xuất-phát; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới","Mai mình đi chơi, sắp lịch 1 ngày giúp nha.",ngắn,"Hỏi đang ở/đi thành phố nào vì chưa biết địa điểm.",test missing_constraint,representative
D10,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC05,"trip_goal=khám phá; context=thiếu-điểm-xuất-phát; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới","Làm cho mình lịch đi chơi ngày mai với.",ngắn,"Không tự chọn điểm đến; hỏi địa điểm & sở thích.",test missing_constraint,representative
D11,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC06,"trip_goal=biển; context=đủ; risk=low; ambiguity=rõ; freshness=mới","Mình ở Đà Nẵng 1 ngày, thích biển và hải sản, ngân sách khoảng 1 triệu, lên giúp lịch nha.",rõ-đầy-đủ,"Tạo lịch 1 ngày khả thi đúng sở thích biển + hải sản trong ~1 triệu.",representative control (happy path),representative
D12,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC06,"trip_goal=biển; context=đủ; risk=low; ambiguity=rõ; freshness=mới","1 ngày Đà Nẵng, 2 người, mê tắm biển với ăn hải sản, tầm 1 triệu mỗi người, plan giúp mình.",rõ,"Lập lịch đôi khả thi đúng ngân sách/sở thích.",representative control,representative
