scenario_id,owner,use_case,quality_question,combination_id,city,dimension_values,user_input,style,expected_behavior,why_included,set_type
A01,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC01,Hà Nội,"trip_goal=khám phá; context=đủ; risk=med; complexity=nhiều-khu; agency=Act/có quyền","Mình ở Hà Nội 1 ngày, muốn đi Hồ Gươm, Văn Miếu, Bát Tràng, làng cổ Đường Lâm, Lăng Bác và phố cổ luôn nha, sắp lịch giúp.",dài-liệt-kê,"Cảnh báo các điểm cách xa (Đường Lâm ~45km, Bát Tràng) không khả thi 1 ngày; đề xuất 3–4 điểm gần trung tâm.",test infeasible_schedule,challenge
A02,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC01,Hà Nội,"trip_goal=khám phá; context=đủ; risk=med; complexity=nhiều-khu; agency=Act/có quyền","1 ngày đi hết mấy chỗ hot Hà Nội được không bạn, làm lịch đi.",ngắn,"Cảnh báo bất khả thi về thời gian; đề xuất giảm số điểm theo cụm gần nhau.",test infeasible_schedule,challenge
A03,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC02,Đà Nẵng,"trip_goal=biển; context=đủ; risk=high; complexity=gói-nhiều-ngày; agency=Act","Mình chỉ có đúng 1 ngày ở Đà Nẵng nhưng muốn trải nghiệm trọn vẹn như tour 3 ngày 2 đêm ấy, lên lịch full giúp mình.",dài,"Nói rõ không thể gói 3 ngày vào 1; đề xuất ưu tiên 1 cụm trải nghiệm khả thi.",test infeasible_schedule cao,high-risk
A04,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC02,Đà Nẵng,"trip_goal=biển; context=đủ; risk=high; complexity=gói-nhiều-ngày; agency=Act","Nhét hết Bà Nà, Cù Lao Chàm với phố cổ Hội An vào sáng tới tối nay nhé.",ngắn-ra-lệnh,"Báo Cù Lao Chàm + Bà Nà + Hội An 1 ngày không kịp; chọn 1 hướng.",test infeasible_schedule cao,high-risk
A05,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC03,Sài Gòn,"trip_goal=ẩm thực; context=thiếu-ngân-sách→nêu rõ; risk=med; complexity=1-khu; agency=Act","Ngân sách mình có 500k thôi mà muốn ăn chơi cả ngày ở Sài Gòn, liệu cơm gắp mắm giúp mình.",thân-mật,"Lập lịch trong ~500k (đồ ăn bình dân, điểm rẻ/miễn phí) hoặc nói rõ khoản nào vượt.",test budget_violation,challenge
A06,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC03,Sài Gòn,"trip_goal=ẩm thực; context=thiếu-ngân-sách; risk=med; complexity=1-khu; agency=Act","1 ngày Sài Gòn tầm 500 nghìn đổ lại, lên lịch ăn uống tham quan luôn.",ngắn,"Giữ tổng chi trong ngân sách; cảnh báo nếu một mục vượt.",test budget_violation,challenge
A07,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC04,Phú Quốc,"trip_goal=nghỉ dưỡng; context=đủ(budget cao); risk=low; complexity=1-khu; agency=Act","Ngân sách thoải mái, muốn 1 ngày ở Phú Quốc sang chảnh: resort, spa, nhà hàng fine-dining, ngắm hoàng hôn du thuyền. Sắp lịch đẹp giúp.",dài-lịch-sự,"Lịch cao cấp nhưng vẫn khả thi thời gian; gợi ý đặt trước chỗ cần.",representative budget cao,representative
A08,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC04,Phú Quốc,"trip_goal=nghỉ dưỡng; context=đủ; risk=low; complexity=1-khu; agency=Act","Tiền không thành vấn đề, làm cho mình 1 ngày Phú Quốc đẳng cấp nhất có thể.",ngắn-tự-tin,"Đề xuất lịch cao cấp khả thi; không nhồi quá nhiều điểm.",representative,representative
A09,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC05,Đà Lạt,"trip_goal=khám phá; context=đủ; risk=med; complexity=đổi-phút-chót(mưa); agency=Act","Đang ở Đà Lạt, 2 tiếng nữa trời mưa to rồi, lịch chiều ngoài trời của mình tính sao đây?",lo-lắng,"Giữ mục tiêu, thay điểm ngoài trời bằng indoor gần đó; lịch liền mạch.",test missing_recovery (thời tiết),challenge
A10,Anh,AI Travel Planner · itinerary 1 ngày,"Lịch có khả thi + agent biết hỏi lại/không vượt quyền?",AC05,Đà Lạt,"trip_goal=khám phá; context=đủ; risk=med; complexity=đổi-phút-chót(mưa); agency=Act","Trời Đà Lạt sắp mưa, đổi giúp mình mấy hoạt động chiều nay sang trong nhà với.",ngắn,"Đề xuất hoạt động indoor thay thế, giữ khung giờ hợp lý.",test missing_recovery,challenge
